iter	Logloss
0	0.5934405293
1	0.5192718528
2	0.459103675
3	0.4133351805
4	0.3829721773
5	0.3574250119
6	0.3359326437
7	0.3196092582
8	0.3028401544
9	0.2899292673
10	0.2807432331
11	0.2725398528
12	0.2655511835
13	0.2607434357
14	0.2559644143
15	0.251275933
16	0.2481081543
17	0.244082945
18	0.2419009782
19	0.2399978084
20	0.2380210519
21	0.2363029159
22	0.2343093452
23	0.2317784129
24	0.2294027402
25	0.2260285092
26	0.2245554616
27	0.2240199821
28	0.2219775977
29	0.2208849711
30	0.219593135
31	0.218905107
32	0.218198228
33	0.216144795
34	0.2154191568
35	0.2146263787
36	0.2140959512
37	0.2136837399
38	0.2129800336
39	0.2123895709
40	0.2119469864
41	0.2113684912
42	0.2107640602
43	0.2093744635
44	0.2087420512
45	0.2074633163
46	0.206936346
47	0.2064788836
48	0.205965696
49	0.2056450446
50	0.2052494387
51	0.2048790545
52	0.2045829236
53	0.2041891628
54	0.2037053244
55	0.2033140196
56	0.2025761176
57	0.2022380655
58	0.2019717913
59	0.2005004595
60	0.2001517477
61	0.1997044416
62	0.1995428082
63	0.1992244469
64	0.1989536526
65	0.1987908716
66	0.1987013113
67	0.1985292863
68	0.1980827131
69	0.1978969535
70	0.1974291988
71	0.1970391799
72	0.1967038652
73	0.1963533567
74	0.1960892005
75	0.1959875688
76	0.195745733
77	0.1948893036
78	0.1945583379
79	0.1939771093
80	0.1937413561
81	0.1933455816
82	0.1928820888
83	0.1925484712
84	0.1921958463
85	0.1918513552
86	0.1916320965
87	0.1914962139
88	0.1911269669
89	0.1907340577
90	0.1905229404
91	0.1902403385
92	0.189745161
93	0.189465842
94	0.1892405944
95	0.1890336353
96	0.1881190367
97	0.1876545782
98	0.1872529774
99	0.1866426669
100	0.1863144869
101	0.1860630077
102	0.1857739168
103	0.1852666395
104	0.1850981189
105	0.1846561257
106	0.1844244202
107	0.1840346592
108	0.18310617
109	0.1827409439
110	0.1823006929
111	0.1819510435
112	0.1817164526
113	0.1811153325
114	0.1807408684
115	0.1804949203
116	0.180148235
117	0.1797318522
118	0.1793985792
119	0.1792994023
120	0.179111917
121	0.178791282
122	0.1786758082
123	0.178374843
124	0.1781256398
125	0.1777445119
126	0.1774613817
127	0.177069262
128	0.1767031738
129	0.176267168
130	0.175809399
131	0.1755277615
132	0.1753011241
133	0.1747928786
134	0.1744322521
135	0.1741771744
136	0.1738358558
137	0.1734689964
138	0.1731465984
139	0.1727457311
140	0.1723581184
141	0.1720401682
142	0.1718165011
143	0.1714450615
144	0.1711743947
145	0.1708059918
146	0.1705559261
147	0.170333844
148	0.1700680247
149	0.1699197123
150	0.1697280396
151	0.1695507541
152	0.1694762832
153	0.1693184108
154	0.1689905884
155	0.1686561615
156	0.16834809
157	0.1682324082
158	0.1680163445
159	0.167674026
160	0.1674300399
161	0.1669287879
162	0.1667780863
163	0.1666159484
164	0.1664563611
165	0.1663546009
166	0.1661342047
167	0.1658885146
168	0.1656980824
169	0.1653645611
170	0.1650987268
171	0.1648669619
172	0.1645708444
173	0.1643704619
174	0.1641679116
175	0.1639737448
176	0.1636893387
177	0.1631280214
178	0.1628131365
179	0.1626353075
180	0.1622823637
181	0.1619275172
182	0.1616653166
183	0.1612817743
184	0.1611115192
185	0.160869727
186	0.1605805788
187	0.1604227968
188	0.160191498
189	0.159937243
190	0.1597913614
191	0.1595332629
192	0.1591846762
193	0.1590920576
194	0.1589272939
195	0.158845692
196	0.1585953392
197	0.1585016513
198	0.1581522121
199	0.1579368841
