iter	Passed	Remaining
0	52	10353
1	55	5499
2	59	3897
3	63	3090
4	66	2606
5	70	2279
6	74	2058
7	78	1878
8	82	1740
9	85	1627
10	89	1540
11	93	1459
12	96	1390
13	100	1332
14	103	1278
15	107	1233
16	111	1194
17	114	1159
18	118	1125
19	121	1094
20	125	1066
21	128	1040
22	132	1019
23	136	1002
24	140	981
25	143	963
26	147	946
27	151	929
28	154	912
29	158	896
30	162	884
31	165	871
32	169	857
33	173	845
34	176	833
35	180	822
36	184	811
37	187	800
38	191	790
39	195	780
40	198	769
41	202	760
42	205	751
43	209	743
44	213	734
45	216	726
46	220	717
47	223	708
48	227	701
49	231	693
50	234	685
51	238	678
52	241	670
53	245	663
54	248	656
55	252	649
56	256	642
57	259	635
58	263	628
59	266	622
60	270	615
61	274	609
62	277	603
63	280	597
64	284	590
65	287	582
66	290	576
67	294	570
68	297	564
69	300	558
70	304	553
71	308	547
72	311	542
73	315	536
74	318	531
75	322	526
76	326	520
77	329	516
78	333	510
79	337	505
80	341	501
81	344	496
82	348	491
83	352	486
84	356	482
85	360	477
86	364	473
87	367	468
88	371	463
89	375	459
90	379	454
91	382	449
92	386	444
93	391	441
94	395	436
95	398	432
96	402	427
97	406	423
98	411	419
99	414	414
100	418	410
101	422	405
102	426	401
103	430	397
104	434	393
105	438	388
106	442	384
107	446	380
108	450	375
109	453	371
110	457	367
111	461	362
112	465	358
113	469	353
114	473	349
115	477	345
116	481	341
117	484	336
118	488	332
119	492	328
120	496	323
121	499	319
122	503	314
123	506	310
124	509	305
125	513	301
126	517	297
127	520	292
128	524	288
129	528	284
130	531	280
131	535	275
132	538	271
133	542	267
134	546	263
135	549	258
136	553	254
137	557	250
138	560	246
139	564	241
140	567	237
141	571	233
142	575	229
143	578	225
144	582	220
145	585	216
146	589	212
147	593	208
148	596	204
149	600	200
150	604	196
151	607	191
152	611	187
153	615	183
154	618	179
155	622	175
156	626	171
157	630	167
158	634	163
159	637	159
160	641	155
161	645	151
162	648	147
163	652	143
164	656	139
165	659	135
166	663	131
167	667	127
168	670	123
169	674	119
170	678	114
171	681	110
172	685	106
173	689	102
174	692	98
175	696	94
176	700	90
177	703	86
178	707	82
179	711	79
180	715	75
181	719	71
182	722	67
183	726	63
184	730	59
185	733	55
186	737	51
187	741	47
188	744	43
189	748	39
190	751	35
191	755	31
192	759	27
193	762	23
194	766	19
195	770	15
196	773	11
197	777	7
198	781	3
199	784	0
