person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,54000,OWN,8.0,PERSONAL,B,10000,10.99,0,0.19,N,3
24,60000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,8.9,0,0.17,N,2
28,39996,RENT,10.0,EDUCATION,D,5525,14.54,0,0.14,N,10
35,200004,MORTGAGE,19.0,DEBTCONSOLIDATION,A,6000,7.68,0,0.03,N,8
24,120000,MORTGAGE,7.0,EDUCATION,B,2500,,0,0.02,N,3
33,44000,RENT,1.0,EDUCATION,D,7500,12.92,1,0.17,Y,6
23,38000,OWN,0.0,VENTURE,B,17500,11.11,0,0.46,N,4
29,24000,MORTGAGE,0.0,EDUCATION,B,4000,10.59,0,0.17,N,10
28,200000,RENT,1.0,MEDICAL,B,24250,12.53,0,0.12,N,5
26,30000,RENT,2.0,EDUCATION,B,5000,12.42,1,0.17,N,2
27,46000,RENT,11.0,MEDICAL,B,8000,11.36,0,0.17,N,8
25,52000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,24500,6.17,0,0.47,N,3
24,90000,RENT,9.0,DEBTCONSOLIDATION,A,20000,6.54,0,0.22,N,3
21,68004,MORTGAGE,5.0,DEBTCONSOLIDATION,B,16000,11.26,0,0.24,N,3
23,100000,MORTGAGE,0.0,PERSONAL,A,7000,8.59,0,0.07,N,3
29,110004,MORTGAGE,13.0,MEDICAL,B,12000,10.36,0,0.11,N,6
23,24996,OWN,1.0,EDUCATION,B,8000,11.26,0,0.32,N,2
32,54000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,10975,7.66,0,0.2,N,7
30,75000,RENT,7.0,MEDICAL,B,20000,12.18,0,0.27,N,7
36,80000,RENT,4.0,EDUCATION,B,7500,11.49,0,0.09,N,15
27,70200,MORTGAGE,9.0,HOMEIMPROVEMENT,A,6000,7.29,0,0.09,N,5
23,38400,MORTGAGE,6.0,EDUCATION,A,8000,6.62,0,0.21,N,4
28,98400,MORTGAGE,12.0,PERSONAL,A,1500,5.42,0,0.02,N,5
25,51000,RENT,1.0,DEBTCONSOLIDATION,B,2700,9.7,0,0.05,N,2
28,73073,MORTGAGE,8.0,VENTURE,A,4200,5.79,0,0.06,N,7
27,78000,RENT,4.0,HOMEIMPROVEMENT,C,9600,12.29,0,0.12,Y,9
34,48000,RENT,0.0,EDUCATION,A,4000,8.0,0,0.08,N,9
21,33000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,2000,14.27,1,0.06,N,4
22,30000,RENT,6.0,MEDICAL,E,5000,17.43,1,0.17,N,2
31,53329,MORTGAGE,6.0,HOMEIMPROVEMENT,A,8250,5.99,0,0.15,N,9
25,38599,RENT,3.0,MEDICAL,B,12000,10.38,1,0.31,N,4
27,20000,RENT,1.0,EDUCATION,C,6000,13.11,0,0.3,Y,5
24,72000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,7.49,0,0.08,N,4
30,80000,RENT,13.0,DEBTCONSOLIDATION,A,3000,5.79,0,0.04,N,6
32,84996,MORTGAGE,4.0,PERSONAL,A,9000,9.32,0,0.11,N,10
22,18000,RENT,1.0,EDUCATION,B,7000,10.65,1,0.39,N,3
26,52000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,10000,9.88,0,0.19,N,4
21,112800,MORTGAGE,2.0,EDUCATION,C,16000,13.48,1,0.14,Y,2
25,20000,RENT,2.0,VENTURE,A,4000,7.29,0,0.2,N,3
21,42500,OTHER,0.0,EDUCATION,D,7000,14.61,0,0.16,Y,2
27,110000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,15000,,0,0.14,N,10
27,45000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,16750,8.94,0,0.37,N,7
21,32400,RENT,1.0,EDUCATION,B,10000,11.48,1,0.31,N,2
32,74400,RENT,16.0,MEDICAL,B,25000,10.38,1,0.34,N,8
36,250000,MORTGAGE,14.0,PERSONAL,C,31400,14.27,0,0.13,Y,16
23,56004,MORTGAGE,7.0,PERSONAL,B,15000,11.26,1,0.27,N,2
34,31000,MORTGAGE,0.0,EDUCATION,C,4200,13.72,0,0.14,Y,7
31,61150,RENT,0.0,DEBTCONSOLIDATION,B,5100,11.49,0,0.08,N,8
23,29700,RENT,2.0,VENTURE,B,4000,10.74,0,0.13,N,4
29,42000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,2500,7.74,0,0.06,N,7
