person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
27,40000,RENT,0.0,VENTURE,B,8000,10.25,0,0.2,N,10
23,24000,RENT,0.0,VENTURE,A,9250,6.54,1,0.39,N,3
23,74000,RENT,1.0,VENTURE,D,15000,15.65,1,0.2,N,2
25,75000,OWN,6.0,MEDICAL,A,11000,8.49,0,0.15,N,3
25,33000,RENT,4.0,MEDICAL,B,3600,10.0,1,0.11,N,3
25,108000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,21000,11.71,0,0.19,N,4
22,18700,RENT,3.0,EDUCATION,A,3600,8.9,1,0.19,N,4
23,39000,RENT,1.0,EDUCATION,B,12000,10.99,1,0.31,N,4
24,60000,RENT,4.0,EDUCATION,A,12000,8.9,0,0.2,N,4
23,34780,RENT,5.0,PERSONAL,D,7500,12.61,0,0.22,N,4
30,144000,MORTGAGE,12.0,PERSONAL,C,35000,12.68,0,0.24,N,8
23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,15000,7.9,0,0.25,N,3
26,59000,RENT,1.0,HOMEIMPROVEMENT,D,12000,,1,0.2,N,4
27,31000,RENT,4.0,DEBTCONSOLIDATION,A,8000,7.66,1,0.26,N,8
25,52000,MORTGAGE,8.0,EDUCATION,C,3900,,0,0.07,N,4
23,75000,RENT,3.0,EDUCATION,A,13200,6.17,0,0.18,N,3
22,30000,RENT,1.0,DEBTCONSOLIDATION,C,15000,15.27,1,0.5,Y,2
29,18000,RENT,2.0,VENTURE,B,3000,12.69,1,0.17,N,5
28,60000,MORTGAGE,12.0,EDUCATION,A,13000,8.9,0,0.22,N,10
25,55000,RENT,3.0,DEBTCONSOLIDATION,B,1200,11.58,0,0.02,N,4
27,36000,MORTGAGE,6.0,VENTURE,B,4000,11.49,0,0.11,N,9
28,44604,RENT,11.0,PERSONAL,B,1500,11.12,0,0.03,N,7
28,60000,RENT,2.0,VENTURE,B,12000,9.91,0,0.2,N,10
27,44000,RENT,5.0,VENTURE,C,10000,15.27,1,0.23,Y,7
23,46300,RENT,0.0,PERSONAL,A,1675,6.54,0,0.04,N,3
23,46000,RENT,1.0,EDUCATION,B,12500,11.11,0,0.27,N,2
21,50350,RENT,3.0,EDUCATION,A,3600,7.88,0,0.07,N,3
24,65600,MORTGAGE,8.0,VENTURE,A,10000,,0,0.15,N,3
37,40000,OWN,6.0,PERSONAL,B,3000,9.91,0,0.07,N,15
23,39600,MORTGAGE,7.0,MEDICAL,A,6000,7.88,0,0.15,N,2
23,44400,RENT,4.0,VENTURE,D,5000,16.29,1,0.11,Y,4
38,200000,RENT,4.0,HOMEIMPROVEMENT,B,21000,10.37,0,0.1,N,11
26,24500,RENT,4.0,PERSONAL,B,8875,10.0,1,0.36,N,2
32,55000,RENT,0.0,DEBTCONSOLIDATION,B,18000,10.38,1,0.33,N,7
24,9600,OWN,2.0,VENTURE,A,3200,7.88,1,0.33,N,2
31,26010,MORTGAGE,2.0,HOMEIMPROVEMENT,B,6500,9.99,0,0.25,N,9
34,28800,RENT,0.0,PERSONAL,F,2500,21.36,1,0.09,N,9
23,86500,MORTGAGE,7.0,VENTURE,A,14000,7.29,0,0.16,N,3
25,90900,RENT,9.0,VENTURE,C,9000,13.22,0,0.1,Y,3
24,65000,RENT,5.0,PERSONAL,B,8000,9.63,0,0.12,N,3
22,62000,MORTGAGE,6.0,VENTURE,A,5000,8.59,0,0.08,N,4
24,100000,MORTGAGE,1.0,VENTURE,A,5000,,0,0.05,N,3
22,72000,OTHER,6.0,VENTURE,B,15000,11.58,0,0.21,N,2
28,50000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,8450,,0,0.17,N,9
22,45996,RENT,0.0,MEDICAL,D,3000,15.62,1,0.07,Y,2
24,52000,OWN,4.0,DEBTCONSOLIDATION,D,7000,14.09,0,0.13,Y,4
27,48000,RENT,2.0,MEDICAL,B,5000,11.58,0,0.1,N,5
29,90000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,15000,11.11,0,0.17,N,9
25,48000,MORTGAGE,2.0,VENTURE,B,5000,,0,0.1,N,4
23,82500,MORTGAGE,0.0,EDUCATION,A,5000,8.49,0,0.06,N,4
25,126000,MORTGAGE,,DEBTCONSOLIDATION,A,6000,6.92,0,0.05,N,3
26,125000,MORTGAGE,10.0,PERSONAL,A,10200,7.49,0,0.08,N,4
29,58000,RENT,4.0,MEDICAL,C,15000,13.16,0,0.26,Y,5
22,19200,RENT,0.0,HOMEIMPROVEMENT,E,3000,,1,0.16,Y,3
27,64000,RENT,2.0,DEBTCONSOLIDATION,C,5000,12.99,0,0.08,N,8
32,130000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,5000,,1,0.04,N,9
38,42000,RENT,3.0,PERSONAL,B,2000,10.38,0,0.05,N,17
22,75000,RENT,4.0,EDUCATION,A,3000,8.9,0,0.04,N,2
26,39672,MORTGAGE,10.0,PERSONAL,D,11500,15.7,0,0.29,N,4
23,57504,MORTGAGE,7.0,PERSONAL,A,10000,8.59,0,0.17,N,2
21,10000,RENT,,MEDICAL,A,1450,7.51,0,0.14,N,4
25,34800,RENT,9.0,MEDICAL,D,5600,16.77,1,0.16,N,4
34,120000,RENT,7.0,VENTURE,C,20000,13.8,0,0.17,N,7
26,152229,OWN,3.0,PERSONAL,B,15000,11.36,0,0.1,N,2
24,25000,RENT,0.0,HOMEIMPROVEMENT,B,8500,12.21,1,0.34,N,2
27,90000,MORTGAGE,0.0,MEDICAL,A,10000,7.14,0,0.11,N,10
22,36000,MORTGAGE,0.0,EDUCATION,C,11625,13.49,0,0.32,N,2
32,51250,RENT,2.0,MEDICAL,A,11000,7.29,0,0.21,N,5
29,29000,RENT,3.0,VENTURE,C,5000,15.23,0,0.17,Y,7
23,120000,MORTGAGE,7.0,MEDICAL,A,6000,6.99,0,0.05,N,3
21,30000,RENT,1.0,VENTURE,D,2400,16.49,1,0.08,Y,2
22,47500,MORTGAGE,6.0,VENTURE,A,6000,7.9,0,0.13,N,3
51,80000,RENT,3.0,VENTURE,F,18000,18.78,0,0.23,N,19
26,113050,MORTGAGE,4.0,MEDICAL,B,9000,12.53,1,0.07,N,4
40,46000,MORTGAGE,5.0,MEDICAL,A,10000,7.9,0,0.22,N,16
25,58000,MORTGAGE,2.0,PERSONAL,D,2750,12.86,0,0.05,Y,4
21,27996,RENT,5.0,EDUCATION,A,3700,8.0,0,0.13,N,3
23,31200,RENT,0.0,EDUCATION,C,3200,13.49,0,0.1,Y,4
25,71004,MORTGAGE,1.0,DEBTCONSOLIDATION,E,2400,17.04,1,0.03,N,3
